For old long Syne,,Anonymous,,"GB-En:National Library of Scotland, Edinburgh",Acc.9769/Personal papers 84/1/6:Balcarres Lute Book,,1690,p.68,Sarge Gerbode,Sarge Gerbode,,,,,For old long Syne,,"vocal intabulation, variations",FM,3,11-course baroque,,,,,https://lutemusic.org//068_anon_old_long_syne.ft3,https://lutemusic.org/pdf/068_anon_old_long_syne.pdf,https://lutemusic.org/midi/068_anon_old_long_syne.mid,1656770887,1586042060
Robin is to the green wood gone,,Anonymous,,Unknown,Source unknown,,1600,%77,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Robin is to the green wood gone,,lute song,Cm,2,"tenor, 6-course",6-course,,,,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/robin_is_to_the_green_wood_gone_T.ft3,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/pdf/robin_is_to_the_green_wood_gone_T.pdf,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/midi/robin_is_to_the_green_wood_gone_T.mid,1573937406,1590339152
Robin is to the green wood gone,,Anonymous,,Unknown,Source unknown,,1600,%77,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Robin is to the green wood gone,,lute song,Cm,2,"tenor, 6-course",score,,,,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/robin_is_to_the_green_wood_gone_VT.ft3,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/pdf/robin_is_to_the_green_wood_gone_VT.pdf,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/midi/robin_is_to_the_green_wood_gone_VT.mid,1573937406,1590339200
En me revenant,,Daniel Bacheler,,GB-Cu:Cambridge University Library,ms add 3056:Cosens lute book,,1595,f.43v,Sarge Gerbode,Sarge Gerbode,,,,,Round,,"round, allemande",FM,3,7-course,,,,https://lutemusic.org/facsimiles/GB-Cu_Cambridge_University_Library/ms_add_3056_Cosens_lute_book_1595/43v.png,https://lutemusic.org/composers/Bacheler/en_me_revenant.ft3,https://lutemusic.org/composers/Bacheler/pdf/en_me_revenant.pdf,https://lutemusic.org/composers/Bacheler/midi/en_me_revenant.mid,1573937407,1588630196
Suite in F major,2. Gavotte?,Ernst Gottlieb Baron,,Ernst Gottlieb Baron,Der getreue Music-Meister,,1728,p.50,Sarge Gerbode,Sarge Gerbode,,,,,Suite in F major,2. Gavotte,"suite, gavotte",FM,3,13-course baroque,,,,,https://lutemusic.org/composers/Baron/suite_FM/02_gavotte.ft3,https://lutemusic.org/composers/Baron/suite_FM/pdf/02_gavotte.pdf,https://lutemusic.org/composers/Baron/suite_FM/midi/02_gavotte.mid,1573937407,1658865900
Suite in F major,3. Minuet?,Ernst Gottlieb Baron,,Ernst Gottlieb Baron,Der getreue Music-Meister,,1728,p.50,Sarge Gerbode,Sarge Gerbode,,,,,Suite in F major,3. Minuet,"suite, minuet",FM,3,13-course baroque,,,,,https://lutemusic.org/composers/Baron/suite_FM/03_minuet.ft3,https://lutemusic.org/composers/Baron/suite_FM/pdf/03_minuet.pdf,https://lutemusic.org/composers/Baron/suite_FM/midi/03_minuet.mid,1573937407,1658865900
Suite in F major,4. Sarabande?,Ernst Gottlieb Baron,,Ernst Gottlieb Baron,Der getreue Music-Meister,,1728,p.50,Sarge Gerbode,Sarge Gerbode,,,,,Suite in F major,4. Sarabande?,"suite, sarabande",FM,3,13-course baroque,,,,,https://lutemusic.org/composers/Baron/suite_FM/04_sarabande.ft3,https://lutemusic.org/composers/Baron/suite_FM/pdf/04_sarabande.pdf,https://lutemusic.org/composers/Baron/suite_FM/midi/04_sarabande.mid,1573937408,1658865900
Suite in F major,5. Allemande?,Ernst Gottlieb Baron,,Ernst Gottlieb Baron,Der getreue Music-Meister,,1728,p.50,Sarge Gerbode,Sarge Gerbode,,,,,Suite in F major,5. Allemande?,"suite, allemande",FM,3,13-course baroque,,,,,https://lutemusic.org/composers/Baron/suite_FM/05_allemande.ft3,https://lutemusic.org/composers/Baron/suite_FM/pdf/05_allemande.pdf,https://lutemusic.org/composers/Baron/suite_FM/midi/05_allemande.mid,1573937408,1658865900
Suite in F major,6. Untitled,Ernst Gottlieb Baron,,Ernst Gottlieb Baron,Der getreue Music-Meister,,1728,p.50,Sarge Gerbode,Sarge Gerbode,,,,,Suite in F major,6. Untitled,"suite, allemande",FM,3,13-course baroque,,,,,https://lutemusic.org/composers/Baron/suite_FM/06_untitled.ft3,https://lutemusic.org/composers/Baron/suite_FM/pdf/06_untitled.pdf,https://lutemusic.org/composers/Baron/suite_FM/midi/06_untitled.mid,1573937408,1658865900
Suite in F major,7. Gavotte,Ernst Gottlieb Baron,,Ernst Gottlieb Baron,Der getreue Music-Meister,,1728,p.50,Sarge Gerbode,Sarge Gerbode,,,,,Suite in F major,7. Gavotte,"suite, gavotte",FM,3,13-course baroque,,,,,https://lutemusic.org/composers/Baron/suite_FM/07_gavotte.ft3,https://lutemusic.org/composers/Baron/suite_FM/pdf/07_gavotte.pdf,https://lutemusic.org/composers/Baron/suite_FM/midi/07_gavotte.mid,1573937408,1658865900
